reviewer_name,rating,date,review_text
Arfi,5,setahun lalu,"Halo, ketemu lagi denganku, kali ini aku kembali jalan jalan ke kota Malang, tidak akan pernah habis perjalanan di kota yang indah ini, tapi perjalanan kali ini akan sedikit berbeda, karena kali ini aku dan temanku akan naik salah satu gunung yang ada di daerah Batu, Malang. Pengalaman kali ini benar benar pengalaman yang luar biasa, pertama kali aku merasakan naik gunung di pulau jawa dan itu begitu melelahkan tapi juga menyenangkan. Trek yang kami lalui cukup mudah untuk pemula sepertiku, dari Basecamp menuju pos 1 samping pos 2 masih gampang, tapi setelah pos 2 menuju pos 3 mulai sulit, tapi setelah melewati perjalanan panjang akhirnya sampai di puncak, sayangnya kami naik di waktu dan musim yang kurang bagus, cuacanya mendung dan akhirnya hujan waktu sampai puncak, pemandangan juga tidak terlalu terlihat jelas. Untuk kami berdua perjalanan dari basecamp menuju puncak memakan waktu 2 jam 30 menit, tapi itu tergantung fisik masing masing orang dan jumlah orang dalam regu, karena kami bertemu beberapa orang yang berjalan 1 jam lebih dulu daripada kami, tapi tertinggal karena terlalu banyak orang dan perlengkapan yang kurang tepat untuk mendaki. Saat berada di puncak kalian bisa bermalam dengan mendirikan tenda atau sekedar santai santai, tapi hari hati karena di atas ada monyet, jadi harap amankan logistik dan barang barang. Dan yang sangat di sayangkan sekali selama perjalanan aku melihat ada cukup banyak sampah botol plastik dan sisa sisa makanan, jadi tolong jaga kebersihan saat kalian mendaki dan selalu bawa sampah, ingat kalian bukan monyet. Mungkin itu saja sedikit perjalanan menuju gunung Panderman kali ini, jika ada kesempatan aku mungkin akan mencoba gunung gunung lain yang ada di tanah Jawa, sekian dari ku, dan akhir kata. Stay Curious."
Faiz F,5,6 tahun lalu,Gunung ini tidak terlalu tinggi. Sangat cocok untuk pemula. Hanya butuh waktu 2-3 jam untuk mencapai puncak. Tidak terlalu ramai. Pemandangan yang disuguhkan cukup apik. Tiket masuk 10 ribu kalo ga salah. Ditambah parkir 2ribu dari bawah. ojek dari parkiran ke pintu masuk 5ribuan.
Mas Bon,5,7 tahun lalu,
Karnael Elisandria,5,2 tahun lalu,"pemandangan dan pengorbanan untuk sampai ke puncak, maklum tidak pernah ke gunung jalan kaki untuk melihat gerhana matahari sebagian"
Eveline Soeyandani,5,2 tahun lalu,"Ke basecamp naik ojek warga lokal Rp15rb sekali jalan, karena kami naik motor matic jd harus parkir dibawah. Simaksi Rp15rb. Kami tektokan naik ke puncak 3 jam, turun 2,5 jam. Byk monyet tp gk ganggu. Gorengan di warung2 basecamp enak, Rp2rban gk bikin sakit tenggorokan 😂 …"
Selumiel Takaliuang,5,5 tahun lalu,"Sudah beberapa kali naik ke Puncak Panderman karena letaknya dekat dengan rumah. Beberapa catatan: 1. Jalur dari latar Ombo menuju puncak cukup menanjak dan sangat berdebu. 2. Ada juga jalur curah banteng, debu lebih sedikit, tetapi sama terjalnya dengan jalur Latar Ombo. Wajib pakai masker!"
Bawon Rusiana,5,3 tahun lalu,"Cocok buat latihan sebelum mendaki ke gunung yg lebih tinggi, pepohonan masih lebat, tanjakan cukup melelahkan"
Fuatul Elysa,5,5 tahun lalu,"Gunung yang satu ini cocok untuk pemula, dari pos 1 sampai latar ombo traknya landai, dan tidak begitu menguras tenaga. Namun, dari latar ombo sampai puncak Trak sedikit menanjak namun tidak terlalu melelahkan. Tingginya 2000 mdpl. Nah kalau mau kesana dan capm di latar ombo paginya harus hati"" dengan barang bawaan jika mau ke puncak tanpa membawa apa"" karena ada sekelompok monyet yang kadang mengambil barang"" atau makanan para pendaki, tapi tenang monyet tidak galak. Gunung panderman ini terletak di sebelah gunung buthak."
Rudy Santoso,5,4 tahun lalu,"Treknya tidak terlalu sulit utk pemula, PP sekitar 2jam."
rumwulan purnami,5,7 tahun lalu,"Assalamualaikum... bersyukur sungguh indah kota Batu di kelilingi gunung2 antara lain Panderman sejuk di sore hari, dingin dimalam hari perjalanan yang mengasyikkan, jalan menuju puncak wow sangat extrim"
Aldi Wahyu,5,4 tahun lalu,"Perjalanannya sungguh menantang karena banyak kera liar (ada yang ramah dengan manusia dan ada yang sedikit brutal), tempat sungguh indah, jalanan lumayan licin tapi masih banyak pijakan dan akar untuk pegangan, sayang sekali banyak pendaki yang meninggalkan sampah :( sehingga beberapa spot banyak tumpukan sampah :( tempat benar-benar worth it untuk dikunjungi!"
Wildaniansyah,5,6 tahun lalu,Gunung panderman memiliki pemandangan yang indah dan memiliki rute yang cukup mudah di lalui dan disana terdapan banyak monet yang berkeliaran di sana. Jika kalian ingin menginap disana sudah tersediah tempat untuk berkemah salah satunya di latar ombo
mohammad rafiuddien,5,2 tahun lalu,"Walaupun pengalaman pendakian ini adalah yang pertama kali dan nyaris tanpa persiapan yang matang, Saya menjadi percaya bahwa mendaki itu memang melelahkan sekaligus menagih. Anda bisa membuktikan itu."
Choirul Ichsan Basuki,3,4 tahun lalu,Jalan ke pos 1 tidak begitu curam. Jalan ke pos 2 dan 3 curam. Pas sampai puncak banyak kera liar
Anita Rahmawati,5,7 tahun lalu,Gunung yg memiliki pemandangan bagus.cocok untuk pendaki pemula.rute tidak terlalu rumit dan aman.
Hadyan F. Hawali,5,2 bulan lalu,"Seru, pemandangan bagus, cocok untuk pemula. Minus banyak monyet"
Loekman Hakeem,4,7 tahun lalu,Cocok buat pendaki pemula. Selain itu juga bisa ajak keluarga yg jarang piknik buat ajak kesini. Karena tempatnya assoy.. Banyak monkey nya.. Haha
Titi Setya,5,7 tahun lalu,Pemandangannya bagus ..jika dilihat dari kota wisata Batu sepertinya sangat dekat ..ternyata jika kita menyusurinya utk mencapai puncak cukup lumayanlah ..bikin nafas tersengal sengal ..krn jalannya terlalu menanjak ..tp asyiik jg .. hehehee ..
Klara Yunita Inuq Thomas,4,6 tahun lalu,"Pemandangannya di puncak sedikit tertutup pohon"", bisa dapat pemandangan yg cukup luas ke arah kota di pertengahan perjalanan."
Didik Dangerous,5,2 tahun lalu,"Monyet nya banyak banget, hati hati barang bawaan"
Maria Putranti,4,4 tahun lalu,"Hiking yang cukup menguras tenaga karena jalannya nanjak terus tapi karena nggak terlalu jauh jadi bisa ditempuh dengan cepat. Bagi yang biasa naik gunung mungkin bisa dicapai 3 sampai 4 jam tektok, tapi saya butuh 6 jam krn pelan pelan sambil menikmati alam. Hati hati dengan tas krn monyetnya siap merampas makanan, terutama di puncak ada gerombolan monyet yg siap beraksi."
Bad tru3's,5,setahun lalu,"Bagus gunungnya, juga jalannya agak menantang, recommended sih buat pemula😁😁 …"
Faisal Ahmad,5,7 tahun lalu,"Berada di ketinggian 2020mdpl membuat gunung panderman menjadi spot favorit untuk naik gunung tektok alias perjalanan cepat, tiket masuk 7000 rupiah murah, kalau kesini jangan pake motor matik, karena medan sampe pos utama nya curam"
Cuty Fruity,5,5 tahun lalu,"Pendakian fit dapat dilakukan 2 jam untuk sampai puncaknya, meskipun terlihat tidak tinggi namun tidak dapat diremehkan. Tereknya sangat licin apalagi saat musim hujan tapi juga sangat seru. Karena kemiringannya yang hampir 75°kali ya haha"
Aiek STMulya,3,7 tahun lalu,"Gunung kebanggan masyarakat KWB yg msh banyak simpan misteri Jalur ke arah puncak gunung sdh bagus.Pos-pos pantau cukup efektif. Masyarakat sekitar jg sangat welcome dgn pengunjung, pendaki dan wisatawan"
Achmad Syaifullah,5,5 tahun lalu,Lumayan untuk pendakian pemula. Jangan lupa ajak sampah ikut turun 👍 …
Muhammad Rifat,5,7 tahun lalu,"Gunung di kawasan wisata Batu, gunung yang tidak terlalu tinggi jadi cocok untuk para pendaki pemula."
David Taring,5,setahun lalu,Gunung penuh kenangan... Terakhir mendaki tahun 2009
Irsa Tavisya,5,4 tahun lalu,"Haduhh rekk jalur berbatuu,dan banyak monyeett pas dipuncak Hati hati kalau kesini"
Moh. Wildan Habibi,4,4 tahun lalu,Salah satu gunung pendakian yang ada di daerah malang dengan ketinggan sekitar 2000 an mdpl. Base gunung panderman dengan gunung Buthak sama.
Felicia Aurell,5,4 tahun lalu,
Hendra Prasetija,5,setahun lalu,"Indah, menyenangkan dan rasa lelah terlunasi ketika mencapai puncak"
Achmad Ubaidillah,4,5 tahun lalu,"Dari pos pendakian aja udh bagus view nya, perjalanan ke puncaknya cm butuh 2-3 jam aja, gunung nya gak terlalu ramai pendaki, track nya ga terlalu menantang tp hati2 terpeleset karena sebelah kanan kiri jurang, cocok untuk pendaki pemula."
Feri Firdiansyah,5,6 tahun lalu,"Gunung panderman dengan ketinggian 2000 mdpl cukup menarik buat camcer karena dari basecamp panderman kita jalan 2 jam sudah sampak puncak dan hati-hati disini banyak monyet, kemudian jangan buang sampah sembarangan"
Muzaki Arvian,5,3 tahun lalu,"Kalo bisa datang di bulan Juli sampai Agustus, di jamin viewnya GK kalah sama gununung di atas 3rb mdpl 😁😁 salam lestari …"
Nusa Alfath,5,6 tahun lalu,"Gunung yang terletak di kota Batu. Satu Base Camp dengan gunung Buthak, suma saat tracking pendakian berbeda jalur. Gunung Buthak arah kanan terus. Gunung Panderman ke arah kiri terus.."
Halimatus Sa'diyah,5,5 tahun lalu,"So beautiful place, love this mountain so much. Rasa lelah terbayar sudah dengan view yang sangat indah. See you next time Panderman"
Ridwan Nurcahya,5,2 bulan lalu,kota yang paling dingin di Jawa Timur
6c jannatunaim,5,4 bulan lalu,Di basecamp ada shelter kah buat istirahat ?
Lutfia Hanim Mufida,5,3 tahun lalu,"1st gunung tahun 1996 hiking dengan teman2 Fapet UB, Alhamdulillah sekarang setiap saat bisa memandang kemegahanmu .... Gunung Panderman"
Resti kw,5,6 tahun lalu,2000mdpl👍 katanya sih itu gunung kerajaannya monyet tapi emang bener kok itu gunung banyak monyetnya …
mrizafirdaus,5,6 tahun lalu,Lumayan nanjaknya buat olahraga
arif andika prasetyo,5,5 tahun lalu,Pemandangan bagus banget untuk pendaki pemula rekomendasi banget ...
Achmad Novian,5,6 tahun lalu,
Hendrawan,5,5 tahun lalu,Tempat buat pemesanan sebelum mendaki gunung yang lebih tinggi.
Naomi Debi,5,7 tahun lalu,Pendakian para amatir selama 4 jam terbayar dengan pemandangan yang uindah lop 😍 …
Devana R.A,5,6 bulan lalu,Harus berhati-hati karena bnyak monyet di puncak
Mochammad Sobrian Kharismadani,4,5 tahun lalu,
Dicky Candra,4,6 tahun lalu,Si kecil yang terjal. Jalannya nanjak bgt. Cukup menantang 😁 …
Ninda Adlina Putri,5,6 tahun lalu,"Gunung Panderman terletak di Batu, Malang. Sudah terbayang bagaimana dinginnya Kota Batu, apalagi gunungnya. Jika para pendaki membawa motor atau mobil, terdapat lahan parkir yang cukup luas dan berada sangat dekat dengan jalur jalan setapak start pendakian. Di sana kita harus mendaftarkan diri dan membayar biaya masuk. Dengan seperti ini, jumlah para pendaki akan selalu terpantau. Disarankan untuk para calon pendaki untuk memulai perjalanan tengah malam, waktu ini cukup tepat untuk istirahat, mendirikan tenda, dan melihat sunset di puncak Panderman. Jalur penanjakan Gunung Panderman cukup mudah di awal-awal perjalanan, namun akan terdapat beberapa jalur yang sangat menanjak, licin, dan berdebu ketika hampir mendekati puncak. Oleh karena itu, para calon pendaki harus sangat memperhatikan atribut dan barang bawaan yang akan dibawa."
Vika Saraswati,5,7 tahun lalu,"Dari pos perijinan ke pos 1 dekat banget, tapi awas banyak monyet ya"
Rizqi Zufar Rizaldy,5,6 tahun lalu,"Rutenya gampang buat pemula, berpasir tapi ngga curam"
bengal.FNI.,5,7 tahun lalu,Sangat menyenangkan meski banyak gangguan oleh si monyet wkwkwk
Alghifari Faiz,5,4 tahun lalu,"Cukup recommended untuk para pendaki pemula, track yang tidak terlalu ekstrim dan dapat ditempuh cukup dengan 2-3 jam dari pos pantau, view dipuncak (basundara) juga nggak kalah menarik dengan mt. Buthak. HTM 15 ribu"
br14n 1m4g3s,3,5 tahun lalu,"Entah sudah berapa kali mendaki gunung yang satu ini. Terakhir kesini, gunungnya tetap sama. Hanya ada beberapa yang berbeda. Tempat parkirnya semakin dekat ke gunung. Semakin banyak yang camping di latar ombo. Semakin banyak sampah yang berserakan. Semakin banyak pendaki yang tidak mencintai alam. Selamatkan Pandermanku. Jagalah Batu. #batulocalguides #letsguide"
Welly Agus,5,7 tahun lalu,"View nya bagus, rute mendaki agak terjal jd hati2 sepatunya"
nur putri puji astiti,3,6 tahun lalu,"Tiket masuk perorangnya 10.000 Bayar parkir permotor 10.000 Nanti pas diloket pembayaran tiket, jangan lupa nulis daftar pengunjung. Jangan lupa juga buat nanya, arah ke panderman kemana. Soalnya ada 2 gunung. Gunung butak dan gunung panderman (ini buat pemula). Tidak disarankan memakai sendal atau sepatu selain sepatu gunung. Apalagi kalo musim hujan. Jangan lupa bawa tenda, pake celana kain, bawa jas ujan juga, bawa autan juga. Disana banyak nyamuk. Trus, kalo ke panderman, ngga disaranin buat naik matic. Karna ada peraturannya, matic disuruh parkir di pos bawah, kemudian naik ojek yang udah disiapin. Estimasi waktu yang dibutuhkan untuk sampai puncak sekitar 2,5-3,5 jam. Bisa lebih kalo kalian rombongan dan jalannya santai banget. Pulangnya lebih cepet. Sekitar 1,5-2 jam. Ini tergantung fisik dan kesiapan kalian juga. Setiap orang beda2. Intinya, slalu waspada, hati2 dan jangan takabur. Selamat mendaki. Jangan buang sampah sembarangan. Dan jaga etika ketika mendaki. Salam lestari"
MENCOBA INDIE,5,4 tahun lalu,
Abas- Abdul Basit,5,7 tahun lalu,"Pemandangannya bagus banget, ada beberapa tempat pemberhentian (pos) sebelum sampai puncak,, kalau pagi2 pasti akan di sambut dengan para penghuni puncak panderman yaitu Kera, kalau beruntung akan lihat kera putih juga disana. Tapi anda harus hati-hati karena kera-kera disana akan ""menyerang"" tenda2 dan mengambil barang2 kalian. Jadi jaga barang bawaan anda baik2. Tidak ada salahnya jika kalian membawa roti atau mie instan kalian bisa berikan ke para kera"
al mustaqiym,3,7 tahun lalu,"Gunung panderman terletak di dukuh toyomerto desa pesanggrahan kota batu. Aksesnya emang agak rumit karena masuk masuk kampung di tengah kota. Tapi cukup mudah kalau kita mau bertanya, karena penduduk sudah paham lokasinya. Untuk motor matic parkirnya agak bawah, tidak sampai di pos perizinan, karena dikhawatirkan rem blong saat turun, sudah banyak kejadian kecelakaan. Parkir 5.000/12 jam. Dari pos perizinan sampai puncak kira kira 3 jam santai."
Muhammad Irvan Hermawan,5,6 tahun lalu,"Saat kemarau, jalanannya berdebu banget. Saat musim hujan berlumpur. Entah musim kemarau atau musim hujan, sunrise di puncak terbaik. Saya lebih merekomendasikan untuk memburu sunrise daripada sunset. Dari sana tampak arjuno, welirang, butak, anjasmoro, semeru dan bromo. Waktu pendakian normalnya 3-5 jam. Pos buka 24 jam. Jadi, selain ringan, perencanaan waktu juga bisa lebih fleksibel."
Al Ul,5,7 tahun lalu,
Handoko Tony,5,6 tahun lalu,Gunung Panderman Dengan Nama Puncaknya Yaitu Basundara COCOK untuk Pendaki Pemula Yang Menghabiskan Liburan Singkatnya.Track Tanah Curam Dan Waktu Tempuh 2-3 Jam .Yang Lebih Serunya Lagi Yaitu Saat Di Pagi Hari Banyak Kera/Monyet Liar Yang Menyapa :) hehehehe
Sylvia Ardiana,5,5 tahun lalu,Gunungnya pas untuk para pendaki yang pemulu. Pas juga untuk yang mau tektok mendaki pagi dan sore turun. Mantap banyak monyet lucu lucu
Fatich Pradana,5,6 tahun lalu,Cocok untuk pendaki pemula treknya relatif aman bebrapa bonus. Tapi tetap waspada berhati2 serangan monyet.
Asrul Najib,5,8 tahun lalu,Indah..Sayang puncak masih banyak sampah
Febri Lailanadif,5,3 tahun lalu,"Buat pendaki pemula cocok, tapi hati hati ada monyet yang siap siaga mengambil barang barang kalian guys"
CARIYOS BASA JAWI,4,setahun lalu,Lumayan.. View nya.
Panitia Lucky,5,3 tahun lalu,"Rekomended buat yang pertama mendaki, selalu siapkan air untuk minum yang banyak"
Muhibbatul Ma'rifah,4,3 tahun lalu,"Healing time bareng temen-temen manteb sih, banyak villa yang dijual juga, tempatnya bagus banget emang klo malem, ato piknik siang"". Pengalaman ku pikinik bareng temen-temen pas siang"" panas sih cuma ya udah gitu kan nikmatin aja liburannya"
Thea Soe,3,6 tahun lalu,Akses ny mudah dijangkau.cmn kondisi kendaraan hrs bener2 prima krn medanny menanjak.
Tomy Kelana,5,7 tahun lalu,"Kenangan mendaki Gn. Panderman yg tak terlupakan, bukit indah dengan puncak yang lapang namun rimbun pohon2 besar, cocok untuk nge-camp sambil menikmati anugerah keindahan alam yg diberikan Alloh kpd kita..👌👍 …"
Mochammad Nuruz Zuhri,5,4 tahun lalu,
Mila Anjy,5,5 bulan lalu,pemandanganyaa enak dipandang
Aviv Rezky Theda Anawanta,2,6 tahun lalu,"Puncak basundara tidak terlalu mewah, pendakian juga cukup curam, di puncak hanya ada debu, pasir, dan kawanan kera"
Hendarto Kusuma,4,7 tahun lalu,"Gunung dengan pemandangan yang sangat indah,udara yang sejuk. Gunung Panderman ini merupakan tempat yang sangat cocok bagi para pemula atau orang orang yang baru pertama kali ingin mendaki gunung,sekedar merefreshing bertamsya bersama keluarga anda tercinta"
Dakocan Sincan,5,7 tahun lalu,Lebih menantang di ketinggian 2000mdpl
Agus Purwanto,5,7 tahun lalu,Tempat pendakian yg Recomendded. Di puncaknya ada tugu. Hati hati ketika mendekati puncak ada banyak monyetnya. Hati hati barang barang bawaan pendakian
pithreeal0v3U,5,6 bulan lalu,mantapp
Toto Sudarto 1567,4,4 tahun lalu,"G.Panderman berada di Kota Batu Malang Jawa Timur ,Tidak begitu tinggi namun trek nya lumayan menantang . Hampir sepanjang perjalanan atau tepatnya di area hutan nya jangan lengah bila menyimpan makanan saat rehat atau menenteng makanan saat dalam perjalanan karena banyak monyet monyet liar yg bukan hanya minta makanan tapi siap merebut makanan dari tangan anda ."
Buang Aja,1,4 tahun lalu,"Sekedar info aja, matic parkir bawah (wajib) Ojek naik ke atas 15rb/org Tiket masuk 15rb/org Ojek turun ke bawah 15rb/org Parkir motor 15rb/org (Parkiran Bawah) Total 60rb Dah mending bromo aja yekan"
Ahmad Taufiqur,5,8 tahun lalu,Ingat jaga lingkungan sekitar dan jangan buang sampah sembarangan Salam lestari bro
Merry Adhadi,5,2 tahun lalu,cocok untuk pendaki pemula. 3 jam naik santai
Ali Hamzah,4,6 tahun lalu,"kata panderman mungkin masih asing terdengar, terutama bagi mereka yang berdomisili di luar kota MALANG. Panderman adalah sebuah gunung yang berdiri gagah di barat kota batu (hasil pemekaran Kabupaten MALANG) dengan ketinggian sekitar 2.000 mdpl. mungkin karena ketinggiannya kurang dari 3.000mdpl, sehingga namanya tenggelam diantara gunung-gunung lain yang ada di wilayah MALANG. Memang di dareah MALANG terdapat beberapa gunung yang namanya kesohor dikalangan penggiat kegiatan alam bebas, seperti arjuno, welirang dan Semeru, puncak tertinggi jawa."
Akbar R Darmawan,4,7 tahun lalu,Manteb lah negeri diatas awan indonesiaku tercinta
Jonas Sitompul,2,4 tahun lalu,"Gn. Panderman di kota Batu, sangat indah dan tidak terlalu tinggi namun tetap mempesona dan banyak spot wisata di sekitarnya antara lain ada : Ada Coban Rais dan masih banyak lagi tempat menarik di sekitar objek wisata ini. Pengen rasanya utk berkunjung lagi ke sini khususnya ke kota batu karena semuanya menarik untuk dikunjungi. Semoga keindahan dan keramahan warganya juga kulinernya murah meriah dan tentunya enak."
Ridwan Albukhori,5,5 tahun lalu,"Sangat bagus bagi pemula yang belum pernah muncak, karena medan dan jarak yang tidak begitu jauh."
Nissa Isma,5,5 tahun lalu,"Gunung tempat untuk refreshing.di malam hari bisa melihat keindahan kota Batu.treknya lumayan,parkiran aman."
Frida Dara,5,6 tahun lalu,Senang sekali saat naik kesana😄 cocok buat pendaki pemula. Medannya pun tidak begitu sulit.. Asik sekali😂😊 …
The Flash,4,3 tahun lalu,"Saran saya kalok kesini hati² dengan monyet²nya 😂 Semua barang bawaan wajib di taruk dalam tenda Mending Tek Tok saja kalok kesini, serius !"
Rock Like Hurricane,5,6 tahun lalu,Cocok buat pemula... Atau sekedar camping ceria... Banyak monyetnya... Hati2 barang logistik anda
Disfear,5,7 tahun lalu,Saya sangat terkesan dengan tempat ini ... Karena ini adalah kali saya pertama mendaki gunung ... Lelah tapi puas bisa melihat pemandangan yang begitu indah ...
MHI photography,5,4 tahun lalu,Puncak gunung Panderman yang indah dan asri.. Untuk pendaki mari jaga alam ini sama-sama bawa turun juga sampahmu salam lestari..
FlyGombal,5,5 tahun lalu,Pemandangan kota batu terlihat sangat cantik
Santo Prastya,5,6 tahun lalu,
Matahari Senja,5,4 tahun lalu,"Sebenernya viewnya bagus, cuman pas kesana pas lagi ada badai angin :( jadi viewnya agak mengecewakan -_-"
Haris Priantomo,5,6 tahun lalu,Hujan dan sahabat jadi lebih banyak cerita
Ndomble Bes,5,6 tahun lalu,"Meskipun gunungnya tinggi tapi waktu di puncak pada saat matahari terbit ,pemandangannya gak main main,bagus banget"
Hendra Sulistiono,5,4 tahun lalu,Tempat yg cocok banget untuk pendaki pemula..
Tukang Review,5,4 tahun lalu,"Masih inget dibegal monyet pas buat mie wkwk. Tapi oke aja, view bagus walaupun introvert"
Rio prakoso,4,6 tahun lalu,"Walaupun track pendakian lumayan menguras tenaga tapi,bisa terbayar dengan keindahannya"
Yoni,5,4 tahun lalu,Cocok untuk gunung latihan sebelum naik ke gunung lain yang lebih tinggi
Singgih Permadi,5,7 tahun lalu,Untuk anda yang menyukai alam dan pendakian tempat ini cocok dan bagus dengan udara yang sejuk dan dingin
Risman Hanafi,5,5 tahun lalu,Perjalanan yang luar biasa
Nathan W,5,sebulan lalu,Keren
ainul huda,4,4 tahun lalu,"Gunung panderman merupakan gunung yang berada dikota Batu Jawa Timur, tempatnya yang eksotika dan sejuk alami menjadikan gunung ini salah satu maskot kota batu. Dengan ketinggian 1700dpl menjadikan gunung panderman sebagai tempat kunjungan bagi pendaki kota malang Raya dan sekitarnya. Meskipun dikondisi pandemi tak jarang menjadikan gunung panderman sebagai pusat kunjungan alami natural bersama alam."
Eddy Warista,4,8 tahun lalu,"Walau tidak terlalu tinggi, gunung ini tampak megah dari Kota Batu. Semoga kelestariannya terus terjaga."
Choirul Imam,5,5 tahun lalu,Pos perizinan bersih tapi masih banyak sampah disetiap pos
Firdha Nur,5,2 bulan lalu,Trekking nya lumayan👍 …
ma adisurya16,3,7 tahun lalu,Jaga barang anda dari ganguan monyet2
lukman hidayat,5,2 tahun lalu,Suasana pagi hari dgn sun set di puncak gunung pandereman
DIFASTI SAKINAH,5,6 bulan lalu,landai matamu
Anggi Bagus Hariyanto,5,7 tahun lalu,gunung yang tidak terlalu tinggi.. cocok untuk pendaki pemula..
