reviewer_name,rating,date,review_text
Didik Darmadi,4,6 tahun lalu,"Tiket masuk 25rb bisa masuk areal kebun dan makan apel sepuasnya. Kalau mau bawa pulang apel dihitung 30rb / kg. Kalau beli banyak coba aja tawar, Siapa tahu harga bisa di korting.. Tapi sedih karena apel nya sisa yang jelek jelek, spertinya yang dipakai untuk wisata adalah kebun bekas panen, jadi jangan harap bisa dapat apel kualitas super yang kuning / merah.. Banyak apel yang dimakan burung atau kelelawar dan banyak yang berjatuhan ke tanah.. Ada yang lebih parah, pengunjung sudah petik apel terus ditinggal di bawah tanah gitu aja. Kalau ga jadi mending apel nya dikumpulkan di keranjang kasir biar ga mubazir.."
Siti Avifah Rahmah,5,setahun lalu,"Wisata Petik Apel Strategis dan Pelayanan Ramah, Bisa Petik Apel Sepuasnya"
Putry Ryzki,5,3 tahun lalu,"Recomend bgt buat yg mau wisata petik apel di batu, viewnya oke bgt, dan petugas juga ramah2, next time pasti balik lagi kesini👍🏼👍🏼👍🏼😍 …"
Pus Pito,5,sebulan lalu,Penngalaman petik apel yg menyenangkan...yuhuyyy
nugraha pratama,5,6 tahun lalu,Apel ada 3 jenis yg manis namanya mana lagi. Warna hijau kekuningan. Masuk 20 ribu perorang makan sepuasnya didalam kebun. Apabila mau di bawa pulang 30ribu/ 1 kg Lokasi sempit jadi jalan hati hati dan jaga kebersihan. Guidnya ramah. Saya dr pool bis dianter pake angkot geratis.
Arrazy Trifiilasetyo,5,6 tahun lalu,
Yulia Istiqomah,5,setahun lalu,
B. Rosalvino Putra S.W,5,setahun lalu,"Mantapp langsung bisa petik apel dan sekaligus makan di tempat, kalo mau bawa pulang bisa dihitung per kg nya"
Go Adventure,5,2 tahun lalu,recomend untuk petik apel di kota batu juga penjelasan edukasi dan tata cara petik apel yg gokil n mantap pokoknya 👍🏻👍🏻👍🏻 …
Yesi Yolanda Putri,5,2 tahun lalu,Yang ada rencana mau ke kebun apel Malang harus banget kesini ya Penjaganya ramah2 dan baik2 bgt Apel nya juga banyak pilihannya ⭐️⭐️⭐️⭐️⭐️
Nandung Ard,5,2 tahun lalu,"Tempat yang nyaman dan sejuk, ada beberapa jenis apel yang bisa dipetik dan dinikmati oleh pengunjung"
ayu putri,5,3 tahun lalu,
brown,5,setahun lalu,"wisata apel seruuu banyak pohon dan buahhh, bisa makan sepuasnyaa staff ramah polll recomended👍🏻👍🏻👍🏻 …"
Muthi ah,5,4 tahun lalu,"Petik apek mandiri Berbagai varian serta manfaat untuk kesehatan, kecantikan, dll Sangat nyenangkan serta pelayanan yg begitu ramah.. Jangan lupa berkunjung di @WisataPetikApelMandiri di malang"
Puput Eka Sari,5,3 tahun lalu,"Jujurly ini tempat metik apel yang rekomended banget di kota batu malang buahnya banyak, manis, mas mas nya juga baik banget. Kalau ke batu jangan lupa metik apel di sini"
Natasha Astria,5,2 tahun lalu,Wisata petik apel di kota batu. Apelnya oke banget
Eka sulistiawati,5,4 tahun lalu,"Bagus bngt poll, bisa makan apel sepuas nya, jangan lupa kalo ke batu wajib ke petik apel mandiri ini."
Melvira Azzahra,5,3 tahun lalu,"Petik Apel terbaik di batu, buat yang lagi pengen cari pengalaman petik apel sendiri langsung kesini aja, semua kakak kakaknya ramah"
Roni Akbar,5,3 tahun lalu,Apelnya mantap banget gaes. Maniss tenan. Mantap jiwa pokok ee.. yukk buruannn!!!😁 …
Mey line,5,3 tahun lalu,
febrian reza,5,3 tahun lalu,"apel nya enaakkk, yg mau wisata petik apel jangan lupa mampir kesini 🥳 …"
Rava Afandi,5,sebulan lalu,Tempatnya sejuk.. Apelnya segar
ratih ayu sulistyoningsih,5,3 tahun lalu,"wisata kebun apel, mantap 👍🏻 cocok untuk kunjungan sambil metik apel, liat alam, kebun bersih. …"
Annisa Rosarizal,5,3 tahun lalu,"Kebunnyaa bagus, buahnyaa manis, bisa jadi destinasi wisata di Batu"
nasi omlet kornet,4,5 tahun lalu,Tempat buat metik buah apel sendiri yang dikelola oleh kelompok tani setempat. Tempatnya agak jauh dari kota dan enak kok suasananya adem.
Agustin Rahmawati,5,3 tahun lalu,"Pesannya dadakan, owner lngsg gercep, reservasi dengan nomer diatas. Lngsg dijemput di kantor petik apel mandiri... Recomended...."
Riry Dewi,5,2 tahun lalu,"Pelayanan bagus, apel manalaginya manis 👍 saran petunjuk jalan lokasi petiknya harap diperjelas …"
Risma Sari,5,setahun lalu,"Enak banget, jangan lupa kesini, walupun dikebun wifi ada. Jd pelayanan mantap"
Wahyu Kurniana,5,3 tahun lalu,"Seru petik apel disini, tour guide ramah, ada banyak macam apel"
Dean Andra,5,sebulan lalu,"Tempat nyaman,kakaknya ramah"
Warren Warren,5,2 tahun lalu,Liburan... Panjang... Kurang Kalau belum ke Petik Buah Apel Mandiri...
arif sudilaksono,1,7 tahun lalu,"Asik sih sayang tiketnya terlalu mahal untuk sekedar melihat kebun apel,dan makan apel,apelnya pun yang jelek"
Trinita R,5,setahun lalu,HTM 25.000/orang. Apelnya banyak yang merah2. makan sepuasnya di kebun. kalo mau bawa pulang bisa per kgnya 30.000. dapet gratis apel 1 kantong mwehehe
sri Wahyuni,5,sebulan lalu,Tempat e enak bagus
Trias Anggih,5,setahun lalu,"Pemandunya baik2, apelnya juga enak2 uwuuuuu"
Dita Ameliana Handini,5,setahun lalu,"Worth it puolll!!! Selain bisa ambil apes sepuasnya, hal yg jadi poin plusnya adalahh owner or penjaganya ramah2 bgtt bintang sepuluhhh🫶 apelnyaaa enakk, ga boong apelnya manis bangettt, renyahh karna baru dipetik jugaa. Kalo punya kesempatann, akan petik kesini lagii, kalo bisa ngajak temen2 yg lain biar bisa seru2an disini. Ayooo dateeng guyss😍"
Aveliani P.W Lewar,5,setahun lalu,"Pelayanana nya baik banget, udara segar. Sangat Puassss"
Yola Rita,5,3 tahun lalu,Tempatnya sejuk dan kakak” staff nya ramah dan baik. Oke bgt🤗 …
Aris Pramudia,5,2 tahun lalu,
Ratna Widjaja,5,2 tahun lalu,Wisata apel batu terenak nih. Balik lagi pasti!
Venyoke Oke,5,2 tahun lalu,Apelnya buanyakkk.. puas deh!
Dwi Ismujianto (Mbah wie),4,7 tahun lalu,"Full edukasi,ramah tamah,buah Apel sllu ada Dll"
Joansen,5,3 tahun lalu,"Apelnya kecil tapi manis, gratis minuman sari buah"
TRINITA RISQI WIDIYANTI 1,5,setahun lalu,"Asik banget, kalo mo kesini mending pagi karna kalo siang udah panas. tapi enak aja si bisa bersantai sambil makan apel petik sepuasnya makan sepuasnya di kebun"
Muhammad Riyadi,5,2 tahun lalu,"Apel nya bagus bagus dan segar segar, mas nyaa seru seru jugaa"
Alhuda Fikansah,5,4 tahun lalu,"Pelayanan nya sangat ramah, bisa petik sepuasnya, recommended pokoknya"
Anisa Sulistia,5,setahun lalu,"pemandunya seru, pokoknya petik apel disini super seruuu cocok buat nambah pengalaman buat sekolah, semoga makin sukses!!"
Joidy Dompas,5,2 tahun lalu,Tempat wisata memetik apel sendiri dengan harga terjangkau dan seru!
agnes erliva,5,3 tahun lalu,"Kebun apel di kota batu Apelnya manis-manis, pohonnya banyak, pisaunya tajam, jadi kupasnya enak, petugasnya ramah, lingkungan sejuk, jalan masuk dekat, tiket masuk relatif murah, tidak dibatasi jam, ada bangku untuk duduk-duduk santai sambil makan apel..."
Mouezza Ezza,5,5 tahun lalu,#petikapelmandiri #wisatamurejekiku Tambah lagi #YangKenyangKita Apelnya bikin kenyang mantep jiwa 🤣
sindy,5,2 tahun lalu,"Orang"" disini ramah-ramah, welcomeee bangett. Untuk apel sendiri enakk manisss"
Supono Stazt,5,sebulan lalu,Apelnya matang dan manis semua
Risnawati 1212,5,3 tahun lalu,Puas banget hapy zossss.semoga bisa kesini lg.suasananya sejuk.dpt bonus lg🤣👍👍 …
Tiara Nurul Maulinda,5,2 tahun lalu,Apelnya manis manis dan puas bisa petik sendiri
luziana 13,5,3 tahun lalu,Mantapp betull tempatnyaaa keren . Sangatt direkomndasikannn buat liburann gesss
Rangga Branco,1,7 tahun lalu,Memetik apel dengan santai . Tapi asam semua
dr.Agus Suprianto,3,3 tahun lalu,Petik apel dsini lumayan luas..tapi jangan nyoba nyoba beli produknya ..saya bli tonik apel samba perbotol 75.000 bli 2 150.000...padahal harga asli cuma 30 ribu...nooh di tokopedia bnyak....ketipu saya...harga dikebun mahal nggetok...3 kali lipat...ya gini ini tempat wisata..wisata tipu2
Nicholas Zephan,5,3 tahun lalu,"apelnya manis enak,tempat nya luas"
Nina Herlina,5,2 tahun lalu,Jangan lupa mampir kesini kalo mau makan apel 🎉 …
aprillia dewi,5,3 tahun lalu,Seru skali berpetik apel di kebun apel kota batu petik apel mandiri joss
Samuel Victor,5,2 tahun lalu,"Lokasi mudah dijangkau, kru ramah2, harga terjangkau. Mantab jiwa dan recomended🤩🤩 …"
Ernawati Tuasikal,5,2 tahun lalu,"Bisa petik sendiri, apelnya manis. Dan bsa makan sepuasnya."
agung apriliyanto,5,2 tahun lalu,Cocok sekali buat wisata keluarga petik apel
Viyodasam Family,5,3 tahun lalu,Cussss kesini gaess bisa petik apel sepuasnya wenak tenan 🥰 …
Lidwina Suwarna,3,6 tahun lalu,"Apel petik sendiri, harga masuk 25rb/org, kl petik dibawa pulang 30rb/kg (gratis kl makan di tempat). Apelnya banyak tp krn lokasinya masuk jalan kecil jd kl ramai pengunjung, parkirnya agak sulit."
akhmad maxi,5,4 tahun lalu,"Menarik, lokasi paling oke, apel manis2 ... instagramable ! Top !"
adel laia,5,3 tahun lalu,"Kerupuk apelnya manis, dan makan apelnya memuaskn."
Kuni Nur Faiza,5,3 tahun lalu,
Edward yens,5,setahun lalu,"Pelayanan yang sangat ramah sekali, udara kebun apel yng segar. Sangat memuaskan"
Almayra Hanurahmi,1,sebulan lalu,kurang memuaskan
Dinny Andriyani,5,3 tahun lalu,"Seneng banget apelnya banyak jenis & ukurannya besar2 ... Crew nya ramah2 woooooo banget, satu2 nya kebun apel dibatu yg nyaman & luaaas"
Muhtar,5,3 tahun lalu,"Mantab, sanga luar biasa metik sendiri dan makan di tempat"
Anmad Nurudin,5,3 tahun lalu,Puas banget makan apel sepuasnya
Risma Rajagukguk,5,setahun lalu,"Mantap super enak, gak nyesel kesini"
Metha Yoosca,5,4 tahun lalu,"Buahnya segar"".. pelayanan dari guide nya ramah"".."
Julita Samosir,5,7 tahun lalu,"Petik apel dimakan sepuasnya. Kalo bungkus bayar,Kota Batu Malang"
B. ROSALVINO PUTRA SATRIA WIBOWO,5,setahun lalu,"Manis apelnya, mantappp!!!"
septya nugraheni,5,3 tahun lalu,Seruuu bangett... Apelnya manis2 hehhe
Edy Sabara,5,2 tahun lalu,sangat memuaskan jenis apelnya variatif
Miftah Fauziah,4,setahun lalu,Ini si kurang jelas bgt. Jd tu kita diarahin ke calo. Nnti calo cr perkebunan apel yg lg panen. Jd ga nentu di 1 kebun itu
Trint Pku,5,2 tahun lalu,"Wah...menyenangkan sekali petik apel disini..apel nya enak, penjaga nya ramah, dikasih bonus byk. Saran saya kalau mau petik apel lgsg dr google aja telp, krn byk calo di sekitar sini"
Dwi Angger087,5,setahun lalu,Kebun petik apel rekomended di bantu karena memiliki jenis buah apel yang menarik dari segi rasa tekstur dan bentuk buah
Didie Boleh Chanel,5,2 tahun lalu,"Wisata petik apel mandiri,,, sangat bersahabat pelayanan dan alam y... Petik apel segar menyenangkan."
dhoni ramadhan hafild,5,3 tahun lalu,"Petugas, tukang parkir, pemilik, plus penjaga kebun nya semua ramah Nggak ngerti ada berapa jenis apelnya tapi semua nya siap untuk dipetik"
Arabel,5,setahun lalu,mantab dibuatin after movie juga cuy
Aiek STMulya,5,8 tahun lalu,"Konsep baru yg dikembangkan dlm transaksi jual beli apel oleh Petani Apel KWB Pembeli lgsg datang ke kebun apel utk melihat, petik, makan & bawa pulang dgn tarif yg berlaku di kebun apel yg rata rata mayoritas anggota POKDARWIS"
Agus Panji,5,3 tahun lalu,"Kereeeennnnn...asyik bgt petik apel di kebun lgsung. Petik apel mandiri kebunnya banyak, sll siap panen, wisata petik apel mandiri yaaa bukan yg lain, mas2nya gaul abiss..ramah menyenangkan semua..sukses wisata apel mandiri"
Muhamad Syukri,5,3 tahun lalu,Tadi petik apel di sana. Apelnya manis². Harga tiket masuknya pun cuma 25.000. Makan apel sepuasnya. Hasil petik apelnya pun manis-manis. Sangat recommended.
Herviana Setya,5,setahun lalu,"wisata petik apel yang seruuuu pohon dan buahnya banyakkk bisa makan apel sepuasnyaaa, staff ramah bgtt recommended👍🏻👍🏻👍🏻👍🏻 …"
Kennisa Fitria,5,setahun lalu,"seru sekali kesini memetik apel sepuasnya dan memandu juga menjelaskan dengan jelas, suskes terus!!"
Difa Plafon,5,2 tahun lalu,Mau maen lagi ke wisata apel mandiri....
MAS INOS channel,5,5 tahun lalu,"Salah satu wisata alam yg menyegarkan, sambil selfi dan bisa makan buah apel sepuasnya disini.. guide kebunnya juga sangat membantu untuk mengenalkan jenis² buah apel yg ada dikebun ini.. ok banget pelayanannya pokoknya👌 …"
hadi Prasetyo,5,6 tahun lalu,Tempar yang asri dan buah apel yang segar langsung dr pohonya
betari ayu,5,setahun lalu,"Pelayanan ramah, di guide masuk dari kantor wisatanya di pinggir jalan ke dalam, bisa makan apel sepuasnya di dalam"
estu rizkiana,5,3 tahun lalu,"Seruuuuuu, apelnya enak2 ❤"
Dini Nuraini,5,setahun lalu,"mantapp banget wisata petik apel disini. bebas milihh, terus murah juga. mas mas nya juga kocakk"
Aprillia Sriduma Tambunan,5,2 tahun lalu,Pulangnya dapat sari apel. Mantaaap!!
bagus fitrian,5,3 tahun lalu,Kebun apel di kota batu yang sangat luas dan apel yang di tawarkan sangat variabel di tambah pelayanan yang sangat memuaskan Kalo mau kesini mending telepon kontak di bio atas dari pada kena calo
Ningsih Setiawan,5,3 tahun lalu,bagussss dan recomended bangett!! pelayanan nya ramahh bangett
Rg Fifin Erkandrio,5,3 tahun lalu,"Jika ingin pengalaman memetik apel langsung, datang saja ke wisata petik apel mandiri kota batu. Bisa makan sepuasnya dibkebun apel"
sri harnaniek,5,3 tahun lalu,"Sangat puas sekali petik"" buah Apel nya n makan sekenyang nya di area kebun.. mantab benar nih👍🙏 …"
Sri Wahyuningsih,5,3 tahun lalu,"Terbayarkan sudah kepuasan memetik dan memakan apel dikebun apel. Apelnya manis, kita bisa memetik sendiri dan makan sepuasnya di tempat"
Tita Sundari,5,3 tahun lalu,"Kebun apelnya mantappp... Apelnya manis-manis, petugasnya ramah, pokoknya woke tenan. Wajib kesini Yo rek kalo ke Batu Malang 😁 …"
sri kurnia,5,3 tahun lalu,"Masya Allah, sungguh indah wisata petik Apel Mandiri Batu Malang... Sangat bersyukur bisa langsung ke kebun wisata... Sangat recommended sekali 👍🏻👍🏻😍😍 …"
nur wahdaniati,5,3 tahun lalu,"Tempatnya bagus, harganya murah"
Meisa Onyta,5,3 tahun lalu,Lokasinya sangat strategis dan ramah petugasnya ❤️
ricky united,5,sebulan lalu,Apelnya segerrr
Yufira Lorenza,5,3 tahun lalu,"Petik apel mandiri paling bagus dan paling baik se batu , bisa jadi tempat rekreasi keluarga dengan harga yang sangat terjangkau 👍 …"
Agus Riyanto,5,4 tahun lalu,Sore sore wisata petik apel di junggo dengan @petikapelmandiri mantab deh asyik bisa makan jenis2 apel khas malang sampai kenyang....bisa bawa kerumah juga lho....siiip dahhh....
Wida Mega Utami,5,3 tahun lalu,"Recomended banget buat wisata keluarga. Pelayanannya sangat baik, tempatnya nyaman, apelnya fresh bisa petik sendiri"
Kwonji Yong,5,3 tahun lalu,"Rekomendasi wisata paling sip 👍 pemandunya enak banget pokoknya ga rugi kesana kalo mau belajar"" tentang berkebun buah apel juga enjoy …"
Widya Resti Anike putri,5,2 tahun lalu,"Kalo ke Malang kalian harus mampir di Wisata Petik Apel Mandiri, uwehhhhh orang*nya ramahhh buangeeeddddd, mantappp dehhhhh……"
Arshiya Indah Nugraha,4,7 tahun lalu,"Berbagai macam apel ada disini, di depan pintu masuk ada penjual dodol dan keripik nangka, apel, anggur dll, utk keripik nangkanya rasanya maknyuss"
Agung Budi,5,3 tahun lalu,Memuaskan dan pasti kembali lagi lain waktu
Tasya Husna,5,3 tahun lalu,"Disini pelayanannya super ramah, bebas makan apel sepuasnya, dan apel bisa dibawa pulang, cocok banget untuk wisata keluarga"
Alinda Dwi Safitri,5,3 tahun lalu,"Tempatnya wisata petik apel yang asyik, berwisata sambil belajar yang dapat membuat otak lebih segar, pemandunya ramah ramah😍😍🍎🍏 …"
Hendra Endot,3,7 tahun lalu,"Kurang luas, dan buahnya ternyata kecil2"
Dina Yuanita,5,2 tahun lalu,"Mampir kesini seru bangett. Masee ruame meriah gak rugi deh kwsini. Hati senang, perut kenyaaangg. Kripiknya uenaaakk"
Rini Padmiharti,4,5 tahun lalu,Senang sekali di sini....walaupun apelnya kecil2 tapi rasanya manis...cuma sayangnya saat kesana kemarin sudah hampir habis apelnya dan yang lain sedang bermekaran bunganya.
Achmad Riswan,5,5 tahun lalu,"Tempatnya asik pemandangan bagus,yang pasti puas dech"
Tejos Ramlie,5,2 tahun lalu,"Wadaoooowww... enaknya petik apel langsung dimakan ... fresh from tree.. abis tu, langsung beli... murahhhhh.... meriaahhh....."
M Rizki Ramadhan,5,7 tahun lalu,Bagus sekali tempatnya ganyesel deh
encep farokhi,5,3 tahun lalu,Wisata petik apel di malang dan batu
Ayu Rizki,5,2 tahun lalu,Mantab bangett.. masnya humoris bgtt..
madelyn melanie,5,2 tahun lalu,tempat yang menyenangkan untuk mendapatkan pengalaman memetik apel langsung dari pohonnya. buahnya segar dan juga manis.
mokhamad robby,5,2 tahun lalu,"Tempatnya sejuk,nyaman dan macam apel cukup beragam... rekomendasi sekali"
Yulis Narti,5,2 tahun lalu,
muhammad fiqi,5,setahun lalu,Mantap bnget kebun ini apel nya manis2 besar2 dan orangnya ramah2
Akbar _V07,5,3 tahun lalu,"kebun luas, pilihan banyak banyak testi, mantab"
Kevin Julianto,1,setahun lalu,"Ngasih nomor wa tapi ga dibaca sama sekali, wisatanya tidak buka setiap hari dan jam bukanya tidak jelas. SIAP SIAP KECEWA KALAU KESINI!"
xdr coty,5,setahun lalu,"keren tempatnya, bagus, adem, apelnya enak manis seger 😍 …"
any rorosukapti,5,setahun lalu,Puassss anak2 kami jalan2 kesini..gak rugi jauh2 dr riau
korri ferdian,5,3 tahun lalu,Wisata petik apel paling keren 👍👍 …
Novrinda Bkl,5,3 tahun lalu,"Sangat seru. Pegawainya ramah-ramah, d antar langsung ke kebunnya. Apelnya enak dongsss 🤤 …"
Ulin Nikmah,5,3 tahun lalu,"seruuu bangett, apelnya banyaak"
Euis Nurdiana,5,2 tahun lalu,Pelayanan ramah2 dn apel ny jg bnyak varian rasa
Dinda Ajuliana,5,3 tahun lalu,"Bisa petik apel sendiri dan dibantu sama mas guide nya, ada keripik apel yang manis juga. Enak dan seru pokoknyaaaaa 😍 …"
Ara Bright,5,2 tahun lalu,"Sipp, mas andik penjelasannya oke. Apelnya juga enak, manis paling oke kebun apelnya"
Ayu Stevani,5,2 tahun lalu,"mas yg jaga seru, apelnya enak manis"
Tung Gays TV,5,5 tahun lalu,Harga 25rb/org untuk petik apel (11 Agùstus 2019) tapi harga kiloannya mahal..
KP - MUSDALIPA,5,2 tahun lalu,Yokkk mampir kesini.. Asyik banget lohh. Petik apel langsung makan dibawah pohonnya.
Tempe Goreng,5,setahun lalu,"enak banget pelayanannya, apel apelny enak dan manis banget. adem banget dan murah pastinya"
Nina Agustin,5,3 tahun lalu,Kebun apel.. Cukup lumayan.
Mey Yumai,5,3 tahun lalu,Petik apel sepuasnya.... Mantappp
Azira Aulia,5,2 tahun lalu,"sangat mengesankan!!! seru banget, dapet pengalaman baru juga bisa metik buah!! pemandangannya apa lagi.."
NURUL KHIYAROH,5,setahun lalu,mantub murah meriah
riza syuhada,5,5 tahun lalu,"Petik Apel sendiri langsung dari Pohon di Kebun, Pulang2 Bawa Apple 5 Kg dlm Kantong Plastik."
Agnes Conny,5,3 tahun lalu,
